fetched_at,place_name,AREA_NM,AREA_CD,_key_used,LIVE_YNA_NEWS__YNA_STEP_NM,LIVE_YNA_NEWS__YNA_TTL,LIVE_YNA_NEWS__YNA_CN,LIVE_YNA_NEWS__YNA_YMD,LIVE_YNA_NEWS__YNA_WRTR_NM
2026-06-02T08:39:49.766286+09:00,반포한강공원,반포한강공원,POI095,KEY_3,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
2026-06-02T08:39:49.766286+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
2026-06-02T08:39:49.766286+09:00,서울대공원,서울대공원,POI100,KEY_4,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
2026-06-02T08:39:49.766286+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
2026-06-02T08:39:49.766286+09:00,청계산,청계산,POI112,KEY_4,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
2026-06-02T08:39:49.766286+09:00,고속터미널역,고속터미널역,POI017,KEY_2,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
2026-06-02T08:39:49.766286+09:00,교대역,교대역,POI018,KEY_3,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
2026-06-02T08:39:49.766286+09:00,양재역,양재역,POI041,KEY_4,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
2026-06-02T10:24:14.046192+09:00,반포한강공원,반포한강공원,POI095,KEY_3,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
2026-06-02T10:24:14.046192+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,일반,"서초구, 10년 넘은 공영주차장 12곳 정밀안전점검","서초구, 10년 넘은 공영주차장 12곳 정밀안전점검    (서울=연합뉴스) 정준영 기자 = 서울 서초구는 공영주차장의 잠재적 위험요인을 사전에 차단하고자 준공 후 10년 이상 지난 철근콘크리트 또는 철골 구조의 공영주차장 12곳에 대해 오는 9월 11일까지 정밀 안전점검을 벌인다고 2일 밝혔다.    전문기관이 정밀 측정장비를 활용해 시설물의 구조적 안전성, 균열·누수·부식 여부 등을 점검하고 안전등급을 종합 평가하게 된다.         이번 점검 대상에는 방배열린문화센터, 반포2동(덜위치칼리지), 구룡공원 등 규모가 크고 주민 이용 빈도가 높은 공영주차장이 모두 포함됐다.     구 관계자는 ""과학적이고 세밀한 점검을 통해 위험 요인을 사전에 제거해 안심하고 이용할 수 있는 주차 환경을 조성하겠다""고 말했다.    prince@yna.co.kr(끝)",2026-06-02 07:11:16,연합뉴스
