fetched_at,place_name,AREA_NM,AREA_CD,_key_used,ACDNT_CNTRL_STTS__ACDNT_OCCR_DT,ACDNT_CNTRL_STTS__EXP_CLR_DT,ACDNT_CNTRL_STTS__ACDNT_TYPE,ACDNT_CNTRL_STTS__ACDNT_ENG_TYPE,ACDNT_CNTRL_STTS__ACDNT_DTYPE,ACDNT_CNTRL_STTS__ACDNT_ENG_DTYPE,ACDNT_CNTRL_STTS__ACDNT_INFO,ACDNT_CNTRL_STTS__ACDNT_ENG_INFO,ACDNT_CNTRL_STTS__ACDNT_X,ACDNT_CNTRL_STTS__ACDNT_Y,ACDNT_CNTRL_STTS__ACDNT_TIME
2026-09-03T09:06:22.139157+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,2026-06-03 21:00,2026-11-02 07:00,공사,Construction,도로보수,Road Repair,소공로 보행환경 개선공사(차로축소| 보도확장) 소공로 서울광장~한국은행앞/양방향 하위1개차로 통제,Sogong-ro Pedestrian Environment Improvement Project (Lane Reduction | Sidewalk Expansion) Sogong-ro: Seoul Plaza to in front of the Bank of Korea / One lower lane closed in both directions,126.97864791274915,37.56470083559572,2026-09-03 09:01
2026-09-03T09:06:22.139157+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,2026-06-03 21:00,2026-11-02 07:00,공사,Construction,도로보수,Road Repair,소공로 보행환경 개선공사(차로축소| 보도확장) 소공로 서울광장~한국은행앞/양방향 하위1개차로 통제,Sogong-ro Pedestrian Environment Improvement Project (Lane Reduction | Sidewalk Expansion) Sogong-ro: Seoul Plaza to in front of the Bank of Korea / One lower lane closed in both directions,126.97864791274915,37.56470083559572,2026-09-03 09:01
2026-09-03T09:06:22.139157+09:00,망원한강공원,망원한강공원,POI094,KEY_2,2026-09-03 08:50,2026-09-03 14:30,교통사고,Traffic Accident,추돌사고,Rear-end Collision,[사고] 강변북로 구리 방향 성산대교북단→양화대교북단 구간 추돌사고 * 발생 일시 : 2026년09월03일 08시03분,"[Accident] A collision occurred on the north end of Seongsan Bridge heading toward Riverside North Road Guri → north end of Yanghwa Bridge. * Date and Time: September 3, 2026, 08:03",126.90076548989862,37.5519545468357,2026-09-03 09:01
2026-09-03T09:06:22.139157+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,2026-09-03 07:08,2026-09-03 18:00,공사,Construction,시설물보수,Facility Maintenance,노해로 (상계6|7동주민센터 → 노원역) 3차로 시설물보수,Nohae-ro (Sangye 6|7-dong Community Center → Nowon Station) 3-lane facility repairs,127.06395625018956,37.65513891002656,2026-09-03 09:01
2026-09-03T09:06:22.139157+09:00,고덕역,고덕역,POI016,KEY_1,2026-09-03 07:47,2026-09-03 18:00,공사,Construction,시설물보수,Facility Maintenance,동남로 (E-마트 → 한영중고교앞) 2|3차로 시설물보수,Southeast Road (in front of E-Mart → Han Young Middle and High School) 2nd and 3rd phase facility repairs,127.15639028367012,37.554237002954544,2026-09-03 09:01
2026-09-03T09:06:22.139157+09:00,수유역,수유역,POI036,KEY_3,2026-09-03 07:40,2026-09-03 18:00,공사,Construction,시설물보수,Facility Maintenance,도봉로 (수유역 → 대한병원) 3차로 시설물보수,Dobongro (Suyu Station → Daehan Hospital) Third phase facility maintenance,127.0243821917899,37.63690491504038,2026-09-03 09:01
2026-09-03T13:19:14.235701+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,2026-06-03 21:00,2026-11-02 07:00,공사,Construction,도로보수,Road Repair,소공로 보행환경 개선공사(차로축소| 보도확장) 소공로 서울광장~한국은행앞/양방향 하위1개차로 통제,Sogong-ro Pedestrian Environment Improvement Project (Lane Reduction | Sidewalk Expansion) Sogong-ro: Seoul Plaza to in front of the Bank of Korea / One lower lane closed in both directions,126.97864791274915,37.56470083559572,2026-09-03 13:01
2026-09-03T13:19:14.235701+09:00,서울숲공원,서울숲공원,POI101,KEY_1,2026-09-03 09:15,2026-09-03 18:00,공사,Construction,시설물보수,Facility Maintenance,[공사] 연결로  성수JC 연결로(동호대교→동부간선) 구간 2차로 시설물보수 * 통제 기간 : 2026년09월03일 09시03분 2차로 시설물보수,"[Construction] Maintenance of two-lane facilities at Seongsu JC connecting road (Dongho Bridge → Eastern arterial road) section. * Control period: September 3, 2026, 09:03, two-lane facility maintenance",127.02931433497703,37.542681049141606,2026-09-03 13:01
2026-09-03T13:19:14.235701+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,2026-09-03 11:00,2026-09-03 14:00,집회및행사,Rally/Event,행사,Event,[통제] 덕수궁길 차 없는 거리(대한문~원형 분수대| 양방향) |- 평일 11:00~14:00|- 토요일·공휴일 10:00~18:00|- 일요일 12:00~18:00,[Access] Deoksugunggil car-free street (Daehanmun Gate to the circular fountain | both directions) | -.: Weekdays 11:00–14:00 | -.: Saturdays and public holidays 10:00–18:00 | -.: Sundays 12:00–18:00,126.97517200982999,37.56479975103437,2026-09-03 13:01
2026-09-03T13:19:14.235701+09:00,용리단길,용리단길,POI076,KEY_3,2026-09-03 11:29,2026-09-03 18:00,공사,Construction,시설물보수,Facility Maintenance,한강대로 (삼각지 → 전자상가입구) 5차로 시설물보수,Han River Boulevard (Samgakji → Electronic Commerce Division) 5th Phase Facility Maintenance,126.97317680573107,37.534921364536736,2026-09-03 13:01
