fetched_at,place_name,AREA_NM,AREA_CD,_key_used,ACDNT_CNTRL_STTS__ACDNT_OCCR_DT,ACDNT_CNTRL_STTS__EXP_CLR_DT,ACDNT_CNTRL_STTS__ACDNT_TYPE,ACDNT_CNTRL_STTS__ACDNT_ENG_TYPE,ACDNT_CNTRL_STTS__ACDNT_DTYPE,ACDNT_CNTRL_STTS__ACDNT_ENG_DTYPE,ACDNT_CNTRL_STTS__ACDNT_INFO,ACDNT_CNTRL_STTS__ACDNT_ENG_INFO,ACDNT_CNTRL_STTS__ACDNT_X,ACDNT_CNTRL_STTS__ACDNT_Y,ACDNT_CNTRL_STTS__ACDNT_TIME
2026-07-04T12:57:04.370237+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,2026-07-04 11:25,2026-07-04 18:00,공사,Construction,시설물보수,Facility Maintenance,올림픽로 (올림픽대교남단교차로 ↔ 올림픽파크텔앞) 양방향  1차로 시설물보수,To the Olympics (Olympic Bridge Southern Intersection ↔ In front of Olympic Parktel) Maintenance of facilities in both directions,127.11695659197719,37.52476446143502,2026-07-04 12:01
2026-07-04T12:57:04.370237+09:00,남산공원,남산공원,POI091,KEY_3,2026-07-04 11:06,2026-07-04 18:00,공사,Construction,시설물보수,Facility Maintenance,장충단로 (장충체육관 → 남산2호터널북단) 3차로 시설물보수,Intestinal worm pathways (Jangchung Gymnasium → Namsan 2 Tunnel North) 3rd round of facility maintenance,127.00541465056159,37.55833461689947,2026-07-04 12:01
2026-07-04T12:57:04.370237+09:00,올림픽공원,올림픽공원,POI127,KEY_1,2026-07-04 11:25,2026-07-04 18:00,공사,Construction,시설물보수,Facility Maintenance,올림픽로 (올림픽대교남단교차로 ↔ 올림픽파크텔앞) 양방향  1차로 시설물보수,To the Olympics (Olympic Bridge Southern Intersection ↔ In front of Olympic Parktel) Maintenance of facilities in both directions,127.11695659197719,37.52476446143502,2026-07-04 12:01
2026-07-04T12:57:04.370237+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,2026-07-04 10:00,2026-07-04 18:00,집회및행사,Rally/Event,행사,Event,[통제] 덕수궁길 차 없는 거리(대한문~원형 분수대| 양방향) |- 평일 11:00~14:00|- 토요일·공휴일 10:00~18:00|- 일요일 12:00~18:00,[Control] Deoksugunggil car-free street (Daehanmun-round fountain | bidirectional) |-. Weekdays 11:00-14:00 |-. Saturdays and holidays 10:00-18:00 | -. Sundays 12:00-18:00,126.97517200982999,37.56479975103437,2026-07-04 12:01
2026-07-04T12:57:04.370237+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2,2026-07-04 11:14,2026-07-04 20:00,집회및행사,Rally/Event,집회,Unknown Detail Type,[무대설치/ 전면통제] 연세로 양방향 신촌역2出 집회관련 무대설치로  전차로 전면통제| 연세로 (신촌로터리 ↔ 연세로사거리) 집회무대설치로 전면통제,[Stage installation/Full control] Full control of tramways by installing a stage related to the assembly of Sinchon Station 出 2 in both directions of Yonsei-ro | Full control by installing a stage for Yonsei-ro (Sinchon Rotary ↔ Yonsei-ro Intersection),126.93684484943482,37.555520870551966,2026-07-04 12:01
2026-07-04T12:57:04.370237+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,2026-07-04 11:00,2026-07-04 18:00,공사,Construction,시설물보수,Facility Maintenance,노해로 (창4동주민센터 → 이마트) 창동지하차도  2차로 시설물보수,Nohae-ro (Chang4-dong Community Center → E-Mart) Repairing the second underground facility in Chang-dong,127.04968626626201,37.652110282844056,2026-07-04 12:01
2026-07-04T12:57:04.370237+09:00,숭례문,숭례문,POI131,KEY_4,2026-07-04 08:10,2026-07-04 15:30,집회및행사,Rally/Event,집회,Unknown Detail Type,[무대설치/전면통제] 세종대로 서울역방향  태평교차로->숭례문  집회관련 무대설치로 진행방향 전차로 전면통제 (반대가변운영),"[Stage Installation/Full Control] Taepyeong Intersection in Seoul Station -> Installation of the stage related to Sungnyemun assembly, full control of the tramway in the direction of progress (operating against the opposite side)",126.9761145821514,37.56266111407347,2026-07-04 12:01
2026-07-04T12:57:04.370237+09:00,시의회 앞,시의회 앞,POI130,KEY_1,2026-07-04 07:57,2026-07-04 13:00,집회및행사,Rally/Event,집회,Unknown Detail Type,[무대설치/통제] 세종대로 숭례문방향 동화면세점앞 집회관련 무대설치로 하위3개차로 통제,"[Stage installation/control] Set up a stage in front of Donghwa Duty Free Shop in the direction of Sungnyemun Gate, Sejong-daero, and control the bottom three stages.",126.97668053610683,37.56936463752489,2026-07-04 12:01
2026-07-04T15:56:39.244697+09:00,경복궁,경복궁,POI008,KEY_1,2026-07-04 12:30,2026-07-04 15:30,집회및행사,Rally/Event,집회,Unknown Detail Type,- 14:00∼15:30 태평교차로∼숭례문(편도 全차로)|【 사전 집회·행진 】|① 12:30∼13:30 사랑채 동측 건너편(2개차로)→태평교차로 ‘집회·행진’|※행진:사랑채동측→광화문→세종대로사거리(인도)→숭례문(13:00出| 2.3km| 1개차로),14:00-15:30 -. Taepyeong Intersection ~ Sungnyemun (Pyeondo Integrated Road)|[Pre-rally Meeting and Marching]|① 12:30-13:30 Across the east side of Sarangchae (two lanes) → Taepyeong Intersection 'Rally and Marching'| ※Marching: Sarangchae-dong side → Gwanghwamun → Sejong-daero intersection (India) → Sungnyemun (13:00 出 | 2.3 km | 1 lane),126.97411631875529,37.582680801495734,2026-07-04 15:01
2026-07-04T15:56:39.244697+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,2026-07-04 11:25,2026-07-04 18:00,공사,Construction,시설물보수,Facility Maintenance,올림픽로 (올림픽대교남단교차로 ↔ 올림픽파크텔앞) 양방향  1차로 시설물보수,To the Olympics (Olympic Bridge Southern Intersection ↔ In front of Olympic Parktel) Maintenance of facilities in both directions,127.11695659197719,37.52476446143502,2026-07-04 15:01
